Date/Time,BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly) 
 03/19  21:00:00,16.958835094240606,15.291176758533493,12.717121846338796,15.887926559718819,12.143742047536149,11.007118429446479,10.302159247592416,10.242616868228753 
 03/19  22:00:00,15.248681854480147,14.849389389916184,12.64273667743332,15.146312250831138,12.009770190438634,11.014568377669198,10.248516942394688,10.229558705238688 
 03/19  23:00:00,13.843934598846579,14.426284404658942,12.531042202704745,14.508371538057374,11.87068937186363,10.982174334479137,10.189565552013776,10.19925545982849 
 03/19  24:00:00,12.624765577290573,13.965285299387462,12.376758195670295,13.93581336094316,11.71222486378024,10.914138199622443,10.116325051937809,10.142055664204375 
 03/20  01:00:00,11.579623730093662,13.602355851822868,12.205467504007887,13.417051213408327,11.569170073110664,10.824199239315192,10.048017467698692,10.088638536259062 
 03/20  02:00:00,10.623090097504708,13.170874934622177,12.014756368803593,12.927857916868538,11.395026738239413,10.69873525710007,9.95710011417955,9.995884750581649 
 03/20  03:00:00,9.773300766225411,12.830951321496326,11.810946966746068,12.472371101325564,11.242674627712408,10.578509331228683,9.87567118220974,9.928815446839844 
 03/20  04:00:00,9.008352197005403,12.412352071813368,11.591416085077505,12.039995536158106,11.053535295398112,10.415822416032324,9.76444552308039,9.805722249552094 
 03/20  05:00:00,8.295138184274835,12.041247786166246,11.357692432201843,11.617865052983444,10.870916876320882,10.252824476199747,9.65217402102918,9.690198432350064 
 03/20  06:00:00,7.657717487162749,11.677495644800379,11.119175549452706,11.217056576744268,10.683245671536359,10.07928984694099,9.531220888530138,9.565988887865205 
 03/20  07:00:00,7.129369519583802,11.390392255879668,10.878400668201629,10.864125277599527,10.528472152109087,9.934716597863162,9.433317574541335,9.479724673856055 
 03/20  08:00:00,7.042826025656173,11.150205234676575,10.653987130632706,10.778210189011645,10.778346581110942,9.799389218875533,9.371336628960432,9.363017378574563 
 03/20  09:00:00,7.8375656072362089,11.259739644831326,10.495480646111677,11.170398491103196,11.941652721721724,9.768025363258156,9.42741058334764,9.309630579738535 
 03/20  10:00:00,10.530469679796884,12.108798440369089,10.447316195308922,12.400533745007558,13.178234611531038,9.779053182379858,9.519143891586389,9.285132183595172 
 03/20  11:00:00,14.916627656784336,13.604740382246206,10.52877145022966,14.248550715765516,13.789665842375334,9.815232274368187,9.62473030933717,9.292234040861365 
 03/20  12:00:00,19.242363099720444,15.503469138999657,10.741541799551362,16.246779714884317,13.537719334286538,9.90285983792751,9.762120819507477,9.34519739536973 
 03/20  13:00:00,23.035202630360045,17.125244087635097,11.100274620046229,18.07055210933023,13.25983402446921,10.00643183411295,9.863714131548426,9.427947639798252 
 03/20  14:00:00,25.843113638195367,18.480218707223974,11.539949568733356,19.562562254845607,13.055750473909886,10.160129306914366,9.98464455274622,9.538325846502908 
 03/20  15:00:00,28.29217997159678,19.45958260291094,12.036526750304397,21.193572224863084,12.996076524828954,10.347292847380573,10.105044413391643,9.661342685577554 
 03/20  16:00:00,30.009979765243196,19.68135550538276,12.56062663942637,22.548994927807109,12.993358299324067,10.560945564206329,10.223241597747938,9.786149487592937 
 03/20  17:00:00,29.60399702986519,19.20330009683759,13.032741737403129,22.391067252039677,13.014442274289454,10.770868111441424,10.316746601174988,9.890329663960025 
 03/20  18:00:00,27.421919485325526,18.483091395062638,13.334139335275037,21.260715891653,12.941585680270576,10.965715461162132,10.344640767636939,9.98751058463103 
 03/20  19:00:00,23.844595392688637,17.6996744427737,13.470086937020508,19.295027479721126,12.773771660903881,11.074873704870896,10.283565828467755,10.033767279222627 
 03/20  20:00:00,20.780350982330689,17.038746817756587,13.490251185601674,17.92222049377912,12.624663952519365,11.159634199912182,10.232958982781366,10.06418597019515 
 03/20  21:00:00,18.54300175982317,16.47905215038721,13.455033850206045,16.931096832200227,12.485923406481028,11.207138112456772,10.19203571845113,10.079042548686111 
 03/20  22:00:00,16.697271035578248,15.964597935921314,13.350166555211578,16.117392275761394,12.34975393471841,11.2140860563058,10.153023959949039,10.076559607984889 
 03/20  23:00:00,15.179839545291422,15.471228284347426,13.199807949414059,15.417399613596265,12.203417148896318,11.176261067619376,10.103402196856507,10.052485558191315 
 03/20  24:00:00,13.868173916560654,14.988436506943092,13.009531135623972,14.783649939265296,12.044490909677976,11.099029747601897,10.039092724205539,10.007358188345638 
 03/21  01:00:00,12.745322681804542,14.52667022682798,12.794603383451344,14.213356357599391,11.882250627938042,10.99785386362803,9.970571039444089,9.948387286423986 
 03/21  02:00:00,11.741054928882218,14.024553783353002,12.569531395108042,13.680741862410138,11.698670598992793,10.86483104617727,9.885986349958717,9.85508825447378 
 03/21  03:00:00,10.87105286612099,13.648299473962775,12.342180314527092,13.199329258496494,11.547151372322642,10.74574203287074,9.81954935215927,9.795797637834643 
 03/21  04:00:00,10.054405469044369,13.191233222716708,12.11524312122722,12.738387731983604,11.360522165144566,10.590604493230363,9.730799846825932,9.691617670723993 
 03/21  05:00:00,9.30442051204222,12.80311590913637,11.888918909130514,12.305283414001858,11.192256150104564,10.448837955304036,9.65125290306494,9.605904432008153 
 03/21  06:00:00,8.61938953890976,12.432423111610646,11.663378706689823,11.896880170767723,11.02519629453631,10.304131971137695,9.569418681063644,9.521928973998293 
 03/21  07:00:00,8.077469693880321,12.149451255751903,11.437272307571961,11.553454048549265,10.895958769507239,10.189637744540445,9.510031590652507,9.469032329350988 
 03/21  08:00:00,8.005970348477457,11.887946617912718,11.230902753644765,11.493187314100858,11.214470523109404,10.080377183958627,9.49225106247879,9.381449883911074 
 03/21  09:00:00,8.77590372065048,12.033415629641742,11.09078818752033,11.898109937381389,12.395401532961394,10.09497031899112,9.59507092282555,9.380360639584675 
 03/21  10:00:00,11.54680381778867,12.918783812514068,11.060074974199307,13.193640051681893,13.722336127083694,10.143667626568455,9.737183418618623,9.40078423913397 
 03/21  11:00:00,15.887096477034673,14.44015864920496,11.166522390678433,15.082653722124345,14.359426229273203,10.21535290243386,9.883460378916999,9.453133905966443 
 03/21  12:00:00,20.252238654570424,16.388618809658494,11.401401436052773,17.119397824375875,14.12870852505754,10.336405724325845,10.061751983304216,9.561750327425099 
 03/21  13:00:00,23.24344658644976,17.533037714135234,11.721526711030237,18.468477734048507,13.980641064346834,10.536410541136933,10.284791273760146,9.701511250017825 
 03/21  14:00:00,24.716474152152725,18.295953351798443,12.090883030122214,19.373740050390958,13.835318940592029,10.750309331367529,10.481645892652994,9.864724927610819 
 03/21  15:00:00,24.853526489192626,18.32425667141424,12.430988466776823,19.567578751469648,13.882365062285473,11.002602394448577,10.699417765343878,10.034531316673473 
 03/21  16:00:00,24.820988929214268,18.32912445726562,12.762083699719689,19.80766814478097,13.865767805703876,11.284537557383258,10.917698484453439,10.293388338214087 
 03/21  17:00:00,24.098626979395858,17.971379721409595,13.057312151435962,19.58802053989019,13.774796912556845,11.398378871170492,10.935734979770848,10.374301143644852 
 03/21  18:00:00,22.21885151662737,17.4181114987417,13.229237917960282,18.58581244262595,13.603182850899234,11.484854307256058,10.909753897136728,10.465975783621547 
 03/21  19:00:00,19.59167056260992,16.788857463750206,13.275233779901733,17.19176054232559,13.362921801367652,11.505115589386005,10.816989985832866,10.515959590805834 
 03/21  20:00:00,17.349535295449976,16.24489078946577,13.248630482165643,16.216982353530946,13.155806073256715,11.50611201868957,10.739012407898532,10.54892204600642 
 03/21  21:00:00,15.661841223069457,15.76685893348921,13.1783268781108,15.464340099330109,12.97200204768221,11.486431779264091,10.675574212418205,10.565694605652146 
 03/21  22:00:00,14.282897902229204,15.330984896730075,13.064701428233115,14.854190922662485,12.806913303094241,11.44755881322666,10.624964164377449,10.567684957319593 
 03/21  23:00:00,13.148716996128993,14.912937273000889,12.911574137359248,14.314074581974783,12.63971046801581,11.380466601135203,10.568430321063199,10.550946587083822 
 03/21  24:00:00,12.176662107805221,14.46774539316937,12.737652691965492,13.834773535916895,12.459379201031324,11.285212447326405,10.502482212915603,10.513719545313155 
 03/22  01:00:00,11.336258125784543,14.128309774109324,12.556482645316568,13.402997552561594,12.310795859144334,11.193145013411583,10.448902824099746,10.47655394657892 
 03/22  02:00:00,10.571795619267356,13.723483007162049,12.371388248719214,13.001216369564667,12.13285864224175,11.070916963085616,10.378788314869205,10.411390468959285 
 03/22  03:00:00,9.882801901086396,13.377409127836274,12.1812910679186,12.627583403387917,11.973215011224939,10.95498982181217,10.314254965049717,10.35045863276614 
 03/22  04:00:00,9.228615447568283,13.03215253350663,11.984737377107054,12.253488664215654,11.802701678818583,10.826466491994364,10.238338110460184,10.281531149683959 
 03/22  05:00:00,8.611396217917584,12.688231105286274,11.77738817086854,11.888973505164906,11.623670302995683,10.685342945710092,10.149508308742425,10.200354804836709 
 03/22  06:00:00,8.035161804626633,12.39983477550517,11.563701786513925,11.534196884654417,11.462461017246263,10.55785101835636,10.064941384716985,10.1360408790169 
 03/22  07:00:00,7.555819891352513,12.01997538018087,11.342568244517308,11.232440426011955,11.257780169372044,10.38084343576335,9.950766498959699,10.012058665176225 
 03/22  08:00:00,7.628328171900575,11.858879920160576,11.132439140076088,11.22038622588763,11.61736463847536,10.29185283392236,9.930125488629999,9.929636799852798 
 03/22  09:00:00,8.331060219772312,11.929778943111776,10.985980765774269,11.56744567557956,12.792263265705863,10.289296508861265,10.009411219827,9.910874154561866 
 03/22  10:00:00,10.026723915287338,12.415581540217815,10.92260911598093,12.379335218452177,14.098861241601928,10.310121986753668,10.108912444301707,9.906403600691128 
